Scheme Name,Details,Entities
Women In Science and Engineering-Societal Challenges with Opportunities Fellowship,"The “Women In Science and Engineering-Societal Challenges with Opportunities (WISE-SCOPE) Fellowship” Program was started by the Department of Science & Technology, Government of India to provide opportunities to Women Scientists and Technologists who have completed Ph.D. and want to utilize their Science & Technology knowledge and expertise for the benefit of society. This program promotes projects that directly deal with challenges at the grassroots level and address them through Science & Technology interventions.  Projects under WISE-SCOPE (WISE-Societal Challenges with Opportunities) should provide Science & Technology solutions to our social problems, livelihood generation, drudgery reduction, health and nutrition-related issues, management of natural resources, sustainable agriculture, climate change, disaster management, etc.
The project proposal should include the development of viable technology/technique with the possibility of lab-to-land transfer, adaptation and scaling up for the benefit of society under the following identified broad thematic areas.
Energy, Water and Waste Management (EWWM)
Engineering and Technology Development (ETD)
Environment, Climate and Sustainable Development (ECSD)
Agriculture and Allied Sciences (AAS)
Health, Food, and Nutrition (HFN)
Project Tenure:
The project tenure shall be up to 3 years.","{""AGE"": [""up to 3 years""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Mukhya Mantri Shramyogi Prathibhavan Vidyarthi Yojana (HBOCWWB),"The scheme “Mukhya Mantri Shramyogi Prathibhavan Vidyarthi Yojana” is implemented by the Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department, Government of Haryana. The main objective of the scheme is to provide financial assistance for full tuition fees, hostel fees, books, stationery and laptop/computer for higher education to meritorious children of registered construction workers who have secured 85% marks in senior secondary (10+2) board examination or 75% or more in Bachelor's degree course and admitted as regular students in the first year of undergraduate, postgraduate/professional courses.","{""AGE"": [""10+2""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [""the Haryana Building and Other Construction Workers Welfare Board""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [""Bachelor"", ""postgraduate""], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Medical Assistance and Wage Loss for the Construction Workers,"The ""Medical Assistance and Wage Loss for the Construction Workers"" by the Building and Other Construction Workers Welfare Board, Labour Department, U.T. Administration of Dadra and Nagar Haveli and Daman and Diu, is a welfare scheme for the registered workers of the board. Under this scheme, the Board will reimburse the actual medical expenses incurred by the beneficiary for injuries sustained during employment upon presentation of original bills and will pay half-monthly wages during the period of disablement.
﻿","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [""the Construction Workers"", ""the Building and Other Construction Workers Welfare Board""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Transgender Utthan Kosh - Post Matric Scholarship for Studying Transgender,"The ""Transgender Utthan Kosh - Post Matric Scholarship for Studying Transgender"" scheme was introduced by the Social Justice and Empowerment Department, Government of Rajasthan. It aims to support transgender students pursuing post-matric education. Under this scheme, transgender students receive a monthly scholarship of ₹1,000/- to cover educational expenses for their post-matric studies.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""1,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [""Matric"", ""matric"", ""matric""], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Death Benefit (O.B.O.C.W.W.B),"The ""Death Benefit'' scheme by the Building and Other Construction Workers Welfare Board, Labour and Employment Department, Odisha, is a welfare scheme for the registered workers of the board. Under this scheme, the Board shall provide financial assistance to the nominee(s) of the beneficiary as death benefit for both natural and accidental death.
﻿","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Odisha""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Educational Assistance (A.B.O.C.W.W.B),"The “Educational Assistance” scheme was started by the Assam Building and Other Construction Workers Welfare Board (A.B.O.C.W.W.B), Labour Welfare Department, Government of Assam. Under this scheme, educational assistance/scholarship will be provided to the children of the registered construction workers who are studying in Class I to Post Graduate, to lay greater emphasis on education. Further, if the children of the construction workers pursue higher study in the Government Institution of IIT/Engineering /Medical etc. then the entire expenses will be borne by the Board on submission of proper documents from the Institution.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [""Graduate""], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
The West Bengal Incentive Scheme: Interest Subsidy on Term Loan,"“Interest Subsidy on Term Loan” is a sub scheme under “The West Bengal Incentive Scheme”. It was launched on 22nd February, 2021, by the Department of Tourism, Government of West Bengal, and shall remain valid upto 31st December, 2025.
Objective of the ""West Bengal Incentive Scheme” Scheme:
The object of the Scheme is to provide financial assistance and help enthusiastic intending or prospective entrepreneurs to start their own business as a self-employed youth who will become an employer in upcoming days and generate more employment.
Objectives of the ""Interest Subsidy on Term Loan"" Scheme:
Through this incentive, an approved project of an eligible unit shall receive an Interest Subsidy on annual interest liability on the Term Loan borrowed from a Commercial Bank/Financial Institution.","{""AGE"": [""22nd February, 2021"", ""31st December, 2025""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
National Awards to Teachers,"Launched in 1958, the scheme ""National Awards to Teachers"" by the Ministry of Education aims to honour and celebrate the unique contribution of some of the finest teachers in the country who, through their commitment, have enriched the lives of their students and improved the quality of school education. Two significant benefits of this scheme are to give public recognition to meritorious teachers and to honour those teachers who have not only improved the quality of school education but also enriched the lives of their students. Two significant eligibility criteria include being a school teacher or Head of School working in a recognised primary, middle, or secondary school and being a regular teacher or Head of School with a minimum of ten years of service. The scheme is implemented under the overall supervision of the Ministry of Education (MOE).","{""AGE"": [""1958""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Assistance to OBM Boat Owner Fishermen on Purchase of Kerosene,"The ""Assistance to OBM Boat Owner Fishermen on Purchase of Kerosene"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to provide financial assistance to fishermen owning small boats with Outboard Motors (OBM) by subsidizing the cost of kerosene or petrol. This initiative supports the fishing community and promotes fisheries in Gujarat.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Gujarat"", ""Gujarat""], ""OCCUPATION"": [""the Agriculture, Farmers Welfare and Cooperation Department""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Skill Development Allowance Scheme,"The Department of Labour & Employment, Government of Himachal Pradesh introduced a scheme named ""
Skill Development Allowance Scheme
"" also known by the name of “The Himachal Pradesh Payment of Skill Development Allowance to Educated Unemployed Persons Scheme, 2013"" with the aim of granting Skill Development Allowance to the unemployed youth aims at providing allowance to educated unemployed persons for their Skill upgradation.
Objective:
This scheme intends to provide allowance to eligible educated unemployed Himachali youth for
their skill upgradation.
This in turn will enable such youth to develop their skill which in turn will enable them to take up
employment or self-employment in the Sector of their choice, since this scheme empowers the youth
to choose the Sector in which they would like to develop their skill, at the training institute of their
choice.
Key features of this scheme:
Financial Assistance:
The scheme provides financial allowances to eligible candidates, covering expenses such as tuition fees, study materials, transportation, and living costs during the training period. This financial support reduces the financial burden on individuals and encourages them to pursue skill development programs.
Enhanced Employability:
By promoting skill development aligned with industry requirements, the scheme equips participants with relevant skills and knowledge. This increases their employability prospects, making them well-prepared to meet the demands of the job market and secure gainful employment.
Access to Quality Training:
The scheme facilitates access to reputable training institutions and programs, ensuring that participants receive high-quality training. This exposure to quality education and skill-building opportunities enhances the overall learning experience and improves the effectiveness of the training received.
Sector-specific Skill Development:
The scheme focuses on various sectors such as healthcare, tourism, agriculture, IT, and manufacturing, recognizing the specific needs and demands of different industries. By targeting sector-specific skill development, the scheme aligns the training with the current and future workforce requirements, increasing the chances of participants finding suitable employment.
Economic Growth and Development:
By nurturing a skilled workforce, the scheme contributes to the economic growth and development of Himachal Pradesh. The availability of skilled individuals attracts investments, encourages entrepreneurship, and leads to the creation of more job opportunities within the state, ultimately bolstering the overall economic prosperity of the region.","{""AGE"": [""2013""], ""GENDER"": [""Skill Development Allowance""], ""LOCATION"": [""Skill Development""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
INDIRAMMA Widow Pension (Urban),"Launched in 2006-07, the scheme ""INDIRAMMA Widow Pension (Urban)"" by the Department of Rural Development, Government of Andhra Pradesh, aims to provide financial assistance to widows irrespective of their age. To be eligible, they should be from a BPL family, be a resident of a district of Andhra Pradesh, and not be covered under any other Pension Scheme. The eligible individuals will be identified by their respective Ward Sabhas. The Bill Collector disburses the pension to the eligible individuals on the first date of every month.","{""AGE"": [""2006-07""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [""Widow""], ""DISABILITY"": []}"
Marriage Assistance,"The Government of Tamil Nadu introduced ""Marriage Assistance""  with a sum of Rs.10,000/- for both male and female is given as Marriage Assistance to employees or their Son/Daughter who legally attain the age of marriage.","{""AGE"": [""Rs.10,000/-""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Interest Subsidy Scheme for Scheduled Caste/Scheduled Tribe Entrepreneurs,The Government of Karnataka has introduced the interest subsidy scheme on loans sanctioned to Scheduled Caste (SC)/Scheduled Tribe (ST) entrepreneurs by Karnataka State Financial Corporation (KSFC). The scheme aims to encourage SC/ST entrepreneurs to establish micro/small scale/services enterprises to expand/diversify/modernization of their existing units.,"{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""ST""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""Scheduled Caste"", ""ST"", ""SC"", ""ST""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen,"“Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen” is a scheme by the Department of Fisheries, Government of Goa. Through this scheme, financial assistance amounting to ₹50% is provided by the Government to eligible fishermen for the Purchase of Lifejackets and Lifebuoys. The applications are accepted only in offline mode.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Dulari Kanya,"Announced on 15th August 2016 by the Hon’ble Chief Minister of Arunachal Pradesh, “Dulari Kanya” is a scheme for the girl child by the Directorate of Family Welfare, Department of Health & Family Welfare of the Govt. of Arunachal Pradesh. The objective of the scheme is to end the preference between male and female child, encouragement of institutional delivery, immunization of children, to end child marriage and overall empowerment of females in all spheres of their life. An amount of ₹ 20,000/- shall be deposited in the fixed deposit Bank Account (Minor Account) of the girl child born in any Government Hospital or Government recognised private hospital. Maturity amount can be withdrawn by the beneficiary on attaining the age of 18 years, which would be subject to verification by the concerned DMO of the respective districts.","{""AGE"": [""August 2016"", ""the age of 18 years""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""20,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Mukhyamantri Rajya Nirashrit Mahila Samman Pension Yojana,"Launched by the Department of Women, Child Development & Social Security, Government of Jharkhand, “Mukhyamantri Rajya Nirashrit Mahila Samman Pension Yojana ” aims  to provide social security to women who are unable to sustain themselves with their own resources and are in need of financial assistance. It is a Direct Benefit Transfer (DBT) scheme, so the pension amount will be directly transferred to the bank account of the beneficiary.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Mukhyamantri Medhavi Vidhyarti Yojana,The Government of Madhya Pradesh initiated the Mukhyamantri Medhavi Vidyarthi Yojana. The objective of the scheme is to provide promising career opportunities to meritorious and talented students,"{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Kotwar Cycle Evam Torch Sahayata Yojana,"Labor Department of Chhattisgarh State started this scheme ""Kotwar Cycle Evam Torch Sahayata Yojana"" for unorganized worker on 10 September 2013. The main objective of the scheme to empower unorganized worker by providing financial assistance of Cycle or Torch .","{""AGE"": [""10 September 2013""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Vidhva Vivah Uphar Yojana,"Vidhwa Vivah Uphar Yojana is a government Under the Social Justice and Empowerment Department, scheme that assists in the process of marriage of widows. This scheme is for those widows who have decided to start a new life after the time spent with their former husbands. The government provides a certain amount to widows, which can be used in the marriage of widows. The money is used to help widows meet the comfortable needs of their new home.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Refund of Contribution Scheme (PBAOCWWB),"The ""Refund of Contribution"" is a Welfare Scheme by the Puducherry Building and Other Construction Workers Welfare Board, Labour Department, Union Territory of Puducherry. As per Sub-Rule (1) of Rule 287 of the ""Puducherry Building and Other Construction Workers Rules 2001"", the Board repays the amount of contribution paid by the deceased beneficiary to the nominee of the deceased member. The amount is credited within 7 days through Direct Benefit Transfer (DBT) into the bank account of the nominee.","{""AGE"": [""7 days""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [""Other Construction Workers Welfare Board""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Incentive Scheme for Sericulture Reelers,"The ""Incentive Scheme for Sericulture Reelers"" was launched by the Minorities Welfare Department, Government of Karnataka, and is implemented by the Karnataka Minorities Development Corporation. The scheme aims to improve the financial condition of minority communities involved in silk reeling and spinning by providing financial assistance through loans and subsidies. This support is intended to enhance working capital, improve basic infrastructure, and promote better productivity and economic stability.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
The Post-Matric Scholarship For Scheduled Tribes Students,The objective of the scheme is to provide financial assistance to students belonging to Scheduled Tribes pursuing Post-Matriculation recognized courses in recognized institutions. The scheme covers professional/ technical as well as non-professional and non-technical courses at various levels and also correspondence courses including distance and continuing education. The scheme is 90:10 funding from by the Ministry of Tribal Affairs and Mizoram state.,"{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Scheme for Assistance for Industrial Infrastructure,"The “Scheme for Assistance for Industrial Infrastructure” launched by the Industries and Mines Department, Gujarat, aims to support the development and upgradation of industrial infrastructure in the state. It provides financial assistance to eligible institutions for creating infrastructure facilities that foster industrial growth, improve operational efficiency, and encourage investments.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Gujarat""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
"Financial Assistance To Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)","The scheme “Financial Assistance to Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)” was launched by the Department of Social Justice, Government of Kerala. Under the scheme, financial assistance will be provided to such school dropouts to pursue SSLC, +1, +2 equivalent courses implemented by State Literacy Mission.
A person becomes disabled by birth or because of an accident or disease. The differently-abled persons face many hurdles in their day-to-day life. About 90% of disabled persons may not have received even primary education. They are forced to give up studies due to various factors, such as difficulty in going to educational institutions and inadequate road facilities.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""Disabled"", ""disabled"", ""disabled""]}"
Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa,"“Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa” is a scheme by the Department of Fisheries, Government of Goa. The scheme has been introduced to uplift the sizeable community of traditional Fishermen, by providing them financial help in the form of a subsidy on the construction/ purchase of Fishing Craft less than 26 feet for fishing in inland waters of Goa. The applications are accepted only in offline mode.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
